84246	18858	1536145690
84246	9446	1536145885
84246	26520	1536145946
84246	32626	1536162124
84246	30425	1536162148
84246	24964	1536169138
195054	27453	1538079543
195054	5698	1538080142
195054	18879	1538080731
195054	11538	1538081386
67306	23028	1535990798
67306	36854	1535991452
67306	25901	1535992322
98490	17519	1537211023
94534	26709	1536668501
150199	12756	1535795626
150199	18749	1535796539
150199	19576	1535797327
150199	34426	1535797934
150199	3386	1535799298
150199	18280	1535800059
150199	29791	1535800586
150199	17958	1535811506
150199	16825	1535811936
150199	30355	1535812508
150199	14382	1535813093
150199	8393	1535813588
150199	34898	1535814328
150199	1058	1535814987
150199	6860	1535815731
150199	13865	1535820170
150199	20057	1535821099
150199	36954	1535821646
150199	24621	1535822434
150199	12831	1535823368
150199	20343	1535823867
150199	33120	1535824079
150199	25348	1535824249
150199	13721	1535915879
150199	8530	1535965005
150199	20088	1536002978
150199	26538	1536004013
150199	24421	1536004519
150199	20655	1536005052
150199	4932	1536005665
150199	26584	1536005899
150199	12512	1536006202
150199	902	1536006603
150199	12448	1536007692
150199	14798	1536008230
150199	14182	1536054520
150199	15287	1536054985
150199	33142	1536055771
150199	19726	1536056311
150199	13122	1536056751
150199	17582	1536057495
150199	2631	1536057944
150199	14492	1536058397
150199	32743	1536058709
150199	35946	1536059083
150199	10820	1536059559
150199	12414	1536060005
134256	28234	1536866276
134256	6762	1536866643
134256	25146	1536866938
134256	6326	1536867334
134256	837	1536867690
134256	3499	1536868817
134256	18455	1536869594
134256	19763	1536870365
134256	11869	1536871802
134256	28372	1536871957
134256	1139	1536872113
134256	8620	1536872171
134256	9022	1536872223
134256	14924	1538148693
134256	19660	1538149438
134256	4464	1538154319
134256	26059	1538155477
134256	29296	1538155518
134256	10318	1538156997
134256	35077	1538159126
134256	2533	1538159960
134256	13173	1538160070
42837	11498	1537437223
42837	16882	1537437890
42837	2401	1537438090
42837	24899	1537438341
42837	11057	1537438630
42837	27944	1537439345
42837	1534	1537439978
42837	10368	1537440234
42837	21181	1537440402
42837	33293	1537440750
42837	1972	1537442358
42837	11522	1537442581
42837	25982	1537442943
42837	37342	1537443455
42837	30015	1537443973
42837	24981	1537444381
42837	6557	1537444670
42837	32901	1537445045
42837	2997	1537445275
42837	13444	1537445411
42837	11424	1537445508
42837	33896	1537445791
42837	34611	1537890100
42837	29477	1537890351
42837	18397	1537890650
42837	28016	1537891058
42837	2661	1537891239
42837	7528	1537891452
42837	7643	1537891712
42837	12907	1537892239
142809	18818	1535837207
142809	7735	1535838333
142809	37312	1535838710
142809	31615	1535915797
142809	22564	1535916148
142809	30983	1535917065
142809	7697	1535917937
142809	28780	1535919647
142809	36908	1535920739
142809	14783	1535921275
142809	1913	1535997077
142809	34455	1535997681
142809	9001	1535998526
142809	6945	1535999519
142809	30500	1536001877
142809	37314	1536002689
142809	6892	1536003756
142809	5141	1536004262
142809	35265	1536005935
142809	8617	1536092170
142809	18963	1536092963
142809	22084	1536093489
166050	2333	1537391126
166050	18628	1537395892
166050	23270	1537396037
166050	35269	1537396566
166050	18904	1537396724
62986	31210	1536140933
62986	9094	1536141480
62986	11671	1536142562
62986	2357	1536144414
62986	31722	1536144890
62986	7660	1536145351
62986	4292	1536145814
62986	13413	1536146147
127992	37581	1536762463
127992	12543	1536763378
151428	6545	1536792793
151428	10046	1536878404
151428	37360	1537054559
